epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8735,2.00485,5.22238,1.33713,0.00022,0.06667,0.00012,8e-05,1.31497,5.45688,1.194,6e-05,6e-05,6e-05
2,33.4703,1.31544,4.48542,1.17042,0.00133,0.4,0.00147,0.00095,1.16859,4.86524,0.92476,0.000137228,0.000137228,0.000137228
3,49.1042,1.08757,3.44182,0.94402,0.00289,0.86667,0.04978,0.03778,1.19671,4.64395,0.90253,0.000211288,0.000211288,0.000211288
4,65.7127,1.25428,3.24618,0.93675,0.00311,0.93333,0.14538,0.07517,1.06927,4.35267,0.88524,0.00028218,0.00028218,0.00028218
5,82.0824,1.16123,3.36858,0.9713,0.00311,0.93333,0.15827,0.07022,1.06551,4.38146,0.87131,0.000349904,0.000349904,0.000349904
6,97.5545,1.11329,2.61475,0.9577,0.00311,0.93333,0.13434,0.05811,1.09049,4.4863,0.87964,0.00041446,0.00041446,0.00041446
7,112.924,1.06963,2.31244,0.91583,0.00311,0.93333,0.0149,0.00635,1.04109,4.45613,0.87455,0.000475848,0.000475848,0.000475848
8,128.55,1.01289,1.92419,0.91053,0.00311,0.93333,0.00457,0.00316,1.09217,4.53625,0.88633,0.000534068,0.000534068,0.000534068
9,144.115,1.36294,2.51856,0.92938,0.00311,0.93333,0.00435,0.0029,1.07465,4.57627,0.88652,0.00058912,0.00058912,0.00058912
10,160.178,1.00811,1.56771,0.92322,0.00267,0.8,0.00284,0.00164,1.08067,4.55818,0.92049,0.000641004,0.000641004,0.000641004
11,177.022,1.03465,1.6237,0.95013,0.00222,0.66667,0.00197,0.00107,1.16245,4.48874,0.93968,0.00068972,0.00068972,0.00068972
12,193.196,1.11287,1.71481,1.0676,0.00156,0.46667,0.00132,0.00075,1.11112,4.54118,0.947,0.000735268,0.000735268,0.000735268
13,209.939,1.18632,1.792,0.93399,0.00067,0.2,0.00044,0.00023,1.26798,4.74812,0.99913,0.000777648,0.000777648,0.000777648
14,226.434,1.33751,1.6972,1.04241,0.00156,0.46667,0.00132,0.00088,1.1596,4.48252,0.9817,0.00081686,0.00081686,0.00081686
15,243.302,1.08924,1.55836,0.97364,0.00244,0.73333,0.00348,0.00249,1.27358,4.30479,0.99111,0.000852904,0.000852904,0.000852904
16,260.644,1.42873,1.91073,1.03128,0.00267,0.8,0.01703,0.01462,1.21412,4.17344,0.97589,0.00088578,0.00088578,0.00088578
17,280.576,0.96449,1.47404,0.89132,0.00267,0.8,0.15441,0.12093,1.26766,4.04794,0.99167,0.000915488,0.000915488,0.000915488
18,299.312,1.0281,1.53427,0.84528,1,0.24716,0.33856,0.22955,1.09252,3.87134,0.96044,0.000942028,0.000942028,0.000942028
