epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,316.903,0.75089,2.52039,0.70739,1,0.19805,0.19789,0.13015,1.2452,4.0022,1.01839,0.0009654,0.0009654,0.0009654
20,333.861,1.04605,1.3109,0.91026,1,0.18758,0.27705,0.16243,1.27848,3.94265,1.05348,0.000985604,0.000985604,0.000985604
21,350.415,0.91992,1.34983,0.93877,1,0.19387,0.68551,0.46846,1.20746,3.37995,1.00923,0.00100264,0.00100264,0.00100264
22,367.998,1.00258,1.7414,0.89064,1,0.40392,0.69779,0.47161,1.19827,3.18912,0.98468,0.00101651,0.00101651,0.00101651
23,386.571,0.71827,2.34286,0.6759,1,0.31804,0.73359,0.44473,1.29381,3.21069,1.0035,0.00102721,0.00102721,0.00102721
24,404.805,0.96102,1.33298,0.92878,1,0.36262,0.85927,0.53808,1.22636,3.04226,0.99287,0.00103474,0.00103474,0.00103474
25,423.493,0.90322,2.29261,0.9026,0.88439,0.73333,0.89015,0.59583,1.17057,2.62447,0.98637,0.0010391,0.0010391,0.0010391
26,441.634,0.95213,1.19181,0.87443,0.87112,0.90231,0.88953,0.57456,1.25,2.26864,1.00043,0.00101,0.00101,0.00101
27,460.193,0.97215,1.38729,0.96075,0.87163,0.90637,0.89498,0.55225,1.35911,2.15361,1.00602,0.0009704,0.0009704,0.0009704
28,477.866,0.66942,1.99756,0.69242,0.87142,0.90473,0.92135,0.56267,1.44792,2.2029,1.0347,0.0009308,0.0009308,0.0009308
29,499.546,0.98176,1.82579,0.97731,0.88092,0.86667,0.91346,0.57596,1.35187,2.20718,1.00006,0.0008912,0.0008912,0.0008912
30,522.941,0.77578,1.13303,0.88771,0.90545,0.86667,0.91346,0.64734,1.22121,2.15603,0.97006,0.0008516,0.0008516,0.0008516
31,545.873,0.88295,1.08175,0.8997,0.90811,0.86667,0.90846,0.61123,1.29411,2.14471,1.00124,0.000812,0.000812,0.000812
32,566.271,0.64565,1.98856,0.6736,0.90958,0.86667,0.89417,0.5813,1.39351,2.103,1.0244,0.0007724,0.0007724,0.0007724
33,582.97,0.62119,1.92101,0.67465,0.91727,0.86667,0.89778,0.5999,1.26685,1.91364,1.00138,0.0007328,0.0007328,0.0007328
34,597.208,0.87525,1.08202,0.86388,0.91908,0.86667,0.90706,0.60397,1.21734,1.82401,0.97717,0.0006932,0.0006932,0.0006932
35,611.541,0.64569,1.81024,0.68526,0.91627,0.86667,0.91206,0.62562,1.2403,1.81071,0.96862,0.0006536,0.0006536,0.0006536
36,627.303,0.86822,1.11043,0.85339,0.9322,0.91748,0.91243,0.59482,1.26022,1.85458,0.96854,0.000614,0.000614,0.000614
37,640.956,0.83972,1.27273,0.89045,0.93213,0.91655,0.9171,0.5618,1.42487,1.90325,1.00745,0.0005744,0.0005744,0.0005744
38,656.009,0.88268,1.11468,0.8212,0.92107,0.86667,0.91206,0.56191,1.42518,1.80219,1.0152,0.0005348,0.0005348,0.0005348
39,671.842,0.84223,1.21975,0.87565,0.91999,0.86667,0.91206,0.59786,1.31031,1.69456,0.97883,0.0004952,0.0004952,0.0004952
40,687.51,0.81829,1.08282,0.90227,0.91998,0.86667,0.91706,0.65144,1.14642,1.59164,0.92819,0.0004556,0.0004556,0.0004556
41,703.36,0.72672,1.44104,0.92364,0.92035,0.86667,0.92135,0.67051,1.09274,1.54394,0.91243,0.000416,0.000416,0.000416
42,716.844,0.78637,1.18594,0.88824,0.92084,0.86667,0.91706,0.66078,1.09138,1.51844,0.91259,0.0003764,0.0003764,0.0003764
43,730.155,0.54002,1.89016,0.64755,0.9328,0.92593,0.92576,0.66266,1.10252,1.49812,0.91687,0.0003368,0.0003368,0.0003368
44,743.564,0.72672,1.15302,0.91329,0.93293,0.9277,0.93043,0.6488,1.09558,1.46999,0.92251,0.0002972,0.0002972,0.0002972
45,756.847,0.73314,1.23237,0.87159,0.93304,0.92926,0.93043,0.63568,1.12816,1.4585,0.94498,0.0002576,0.0002576,0.0002576
46,770.008,0.70021,1.16425,1.00453,0.93314,0.93063,0.93043,0.62257,1.13175,1.44201,0.95351,0.000218,0.000218,0.000218
47,783.238,0.66096,1.2985,0.87763,0.93164,0.93333,0.92176,0.61783,1.14478,1.41692,0.96074,0.0001784,0.0001784,0.0001784
48,798.751,0.73044,1.16261,0.92138,0.9301,0.93333,0.91243,0.61077,1.15176,1.3906,0.96352,0.0001388,0.0001388,0.0001388
49,815.812,0.64696,1.14796,0.87896,0.92962,0.93333,0.92176,0.60767,1.15315,1.37156,0.96508,9.92e-05,9.92e-05,9.92e-05
50,832.545,0.76033,1.21181,0.85759,0.92889,0.93333,0.91243,0.59447,1.1585,1.34932,0.96712,5.96e-05,5.96e-05,5.96e-05
